"Bill of Material for "
"On 1/17/2017 at 11:16:41 AM"

"Comment","Pattern","Quantity","Components"

"0.1µF","0805","1","C4",""
"1µF","0603","3","C2, C3, C5",""
"10µF","0805","1","C1",""
"2.2nF","0603","1","C6",""
"22µF","0805","3","C8, C9, C11",""
"4.7µF","0805","2","C7, C10",""
"6.8µH","L0603","1","L1",""
"CN3065","DFN8G-0.5-3X3MM","1","U2",""
"DHT-4235A","KMR2","1","SW2",""
"ESP-12","ESP-12","1","X1",""
"ETA1036-50S2F","SOT-23-5","1","1",""
"Green","LED-0603","1","D8",""
"Header 10","HDR1X10","2","P1, P2","Header, 10-Pin"
"Header 6","HDR1X6","1","P3","Header, 6-Pin"
"JSTPH","JST-2-SMD","1","J1",""
"LED","LED_5MM","3","D5, D6, D7",""
"MK-12C02","SW7-SMD-L6.7X2.7X3.2MM","1","SW1",""
"MMBT3904L","SOT23-3","2","Q1, Q2","Transistor NPNBJT configuration in SOT23 package. MMBT2222 is the common NPN we use. Double check BCE configuration again layout."
"Orange","LED-0603","1","D9",""
"Red","LED-0603","1","D4",""
"Res3","J1-0603","17","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17","Resistor"
"WS2812B5050","WS2812B","3","D1, D2, D3",""
"XC6204B332MR","SOT-23-5","1","U1",""
